circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
233 chr20:10458176|10560820	chr20	10458176	10560820	2	0_2_2	15	0.211	exon	ENSG00000149346.14,	+	E00500:175:HHYKLCCXY:5:2106:5264:14125,E00500:175:HHYKLCCXY:5:2209:28899:72262,
234 chr20:19990006|19992299	chr20	19990006	19992299	2	2_2_0	14	0.222	exon	ENSG00000132669.12,	+	E00500:175:HHYKLCCXY:5:1118:3153:32162,E00500:175:HHYKLCCXY:5:1207:19522:16428,
235 chr20:25685567|25686466	chr20	25685567	25686466	5	0_2_2	3	0.769	exon	ENSG00000130684.13,	-	E00500:175:HHYKLCCXY:5:1107:29660:28013,E00500:175:HHYKLCCXY:5:1116:16478:3841,E00500:175:HHYKLCCXY:5:1217:23246:23020,E00500:175:HHYKLCCXY:5:2202:11119:60378,E00500:175:HHYKLCCXY:5:2215:31365:43202,
236 chr20:33677105|33680416	chr20	33677105	33680416	7	5_4_2	42	0.250	exon	ENSG00000101412.12,	-	E00500:175:HHYKLCCXY:5:1208:26078:5634,E00500:175:HHYKLCCXY:5:1221:10358:68904,E00500:175:HHYKLCCXY:5:2116:6685:66865,E00500:175:HHYKLCCXY:5:2211:21207:37770,E00500:175:HHYKLCCXY:5:2223:31314:51377,E00500:175:HHYKLCCXY:5:1106:17401:67287,E00500:175:HHYKLCCXY:5:2203:14712:57530,
237 chr20:35069296|35078174	chr20	35069296	35078174	25	11_13_6	16	0.758	exon	ENSG00000100991.11,	-	E00500:175:HHYKLCCXY:5:1101:10784:48195,E00500:175:HHYKLCCXY:5:1105:30239:53733,E00500:175:HHYKLCCXY:5:1111:14154:5405,E00500:175:HHYKLCCXY:5:1114:23155:71875,E00500:175:HHYKLCCXY:5:1202:8674:5651,E00500:175:HHYKLCCXY:5:1214:26047:21333,E00500:175:HHYKLCCXY:5:1217:2605:25587,E00500:175:HHYKLCCXY:5:1217:3518:26255,E00500:175:HHYKLCCXY:5:1220:2899:46349,E00500:175:HHYKLCCXY:5:1222:30178:8165,E00500:175:HHYKLCCXY:5:1222:29112:8183,E00500:175:HHYKLCCXY:5:2201:7375:17606,E00500:175:HHYKLCCXY:5:2203:8105:41444,E00500:175:HHYKLCCXY:5:2203:12347:52484,E00500:175:HHYKLCCXY:5:2205:32146:35555,E00500:175:HHYKLCCXY:5:2209:21775:36258,E00500:175:HHYKLCCXY:5:2218:13047:60061,E00500:175:HHYKLCCXY:5:2218:8897:72561,E00500:175:HHYKLCCXY:5:1115:3447:10802,E00500:175:HHYKLCCXY:5:1116:8176:24655,E00500:175:HHYKLCCXY:5:1122:9252:69484,E00500:175:HHYKLCCXY:5:1202:26504:62839,E00500:175:HHYKLCCXY:5:1215:3397:59165,E00500:175:HHYKLCCXY:5:2109:31568:68447,E00500:175:HHYKLCCXY:5:2212:15402:58620,
238 chr20:36175551|36178672	chr20	36175551	36178672	4	2_0_2	1	0.889	exon	ENSG00000088367.21,	+	E00500:175:HHYKLCCXY:5:1222:17107:53205,E00500:175:HHYKLCCXY:5:1222:17533:53240,E00500:175:HHYKLCCXY:5:2112:5091:35203,E00500:175:HHYKLCCXY:5:2211:12083:50094,
239 chr20:39023690|39034317	chr20	39023690	39034317	2	1_1_1	6	0.400	exon	ENSG00000101452.14,	+	E00500:175:HHYKLCCXY:5:2121:19481:9396,E00500:175:HHYKLCCXY:5:2209:22455:72033,
240 chr20:46063360|46079453	chr20	46063360	46079453	5	3_3_0	4	0.714	exon	ENSG00000124160.11,	-	E00500:175:HHYKLCCXY:5:1104:16366:45523,E00500:175:HHYKLCCXY:5:1104:16153:45576,E00500:175:HHYKLCCXY:5:1119:19015:36750,E00500:175:HHYKLCCXY:5:2111:12753:19223,E00500:175:HHYKLCCXY:5:2115:26930:65546,
241 chr20:48688657|48700886	chr20	48688657	48700886	2	2_2_0	14	0.222	exon	ENSG00000124126.13,	-	E00500:175:HHYKLCCXY:5:2120:3752:18221,E00500:175:HHYKLCCXY:5:2120:4939:18239,
242 chr20:50096483|50096820	chr20	50096483	50096820	3	1_2_1	3	0.667	exon	ENSG00000244687.11,	-	E00500:175:HHYKLCCXY:5:1207:8978:5862,E00500:175:HHYKLCCXY:5:2206:7009:26466,E00500:175:HHYKLCCXY:5:2215:16467:8956,
243 chr20:59851568|59861498	chr20	59851568	59861498	47	12_10_30	17	0.847	intergenic_region	n/a	+	E00500:175:HHYKLCCXY:5:1108:30198:17834,E00500:175:HHYKLCCXY:5:1113:5355:59112,E00500:175:HHYKLCCXY:5:1115:30188:63806,E00500:175:HHYKLCCXY:5:1115:7486:70363,E00500:175:HHYKLCCXY:5:1120:24637:34641,E00500:175:HHYKLCCXY:5:1120:7994:67515,E00500:175:HHYKLCCXY:5:1121:12966:48459,E00500:175:HHYKLCCXY:5:1123:10987:21930,E00500:175:HHYKLCCXY:5:1123:11332:22317,E00500:175:HHYKLCCXY:5:1210:26656:19329,E00500:175:HHYKLCCXY:5:1211:15909:6478,E00500:175:HHYKLCCXY:5:1214:3133:23161,E00500:175:HHYKLCCXY:5:1218:16538:66531,E00500:175:HHYKLCCXY:5:1220:30472:65388,E00500:175:HHYKLCCXY:5:1222:24708:53153,E00500:175:HHYKLCCXY:5:1223:10226:62030,E00500:175:HHYKLCCXY:5:1224:27945:69590,E00500:175:HHYKLCCXY:5:2101:11160:12525,E00500:175:HHYKLCCXY:5:2101:11921:12754,E00500:175:HHYKLCCXY:5:2108:27986:34992,E00500:175:HHYKLCCXY:5:2110:5396:70082,E00500:175:HHYKLCCXY:5:2117:5487:4421,E00500:175:HHYKLCCXY:5:2119:29234:25903,E00500:175:HHYKLCCXY:5:2119:29082:26062,E00500:175:HHYKLCCXY:5:2123:30310:7269,E00500:175:HHYKLCCXY:5:2124:24271:26624,E00500:175:HHYKLCCXY:5:2201:27235:9747,E00500:175:HHYKLCCXY:5:2206:5000:21755,E00500:175:HHYKLCCXY:5:2211:28798:72192,E00500:175:HHYKLCCXY:5:2221:5751:54875,E00500:175:HHYKLCCXY:5:2222:25053:9906,E00500:175:HHYKLCCXY:5:2222:23175:55596,E00500:175:HHYKLCCXY:5:2223:31497:50076,E00500:175:HHYKLCCXY:5:2223:31487:50094,E00500:175:HHYKLCCXY:5:2223:31883:51236,E00500:175:HHYKLCCXY:5:1123:29386:63999,E00500:175:HHYKLCCXY:5:1219:31933:45804,E00500:175:HHYKLCCXY:5:1221:16285:51746,E00500:175:HHYKLCCXY:5:2103:2615:6196,E00500:175:HHYKLCCXY:5:2115:11150:17465,E00500:175:HHYKLCCXY:5:2115:9130:17588,E00500:175:HHYKLCCXY:5:2121:26869:48388,E00500:175:HHYKLCCXY:5:2121:18781:53012,E00500:175:HHYKLCCXY:5:2203:27894:51113,E00500:175:HHYKLCCXY:5:2211:31578:33480,E00500:175:HHYKLCCXY:5:2212:29122:68113,E00500:175:HHYKLCCXY:5:2223:25012:21227,
244 chr20:63775678|63775962	chr20	63775678	63775962	27	22_22_0	261	0.171	exon	ENSG00000130584.10,	-	E00500:175:HHYKLCCXY:5:1101:22171:11312,E00500:175:HHYKLCCXY:5:1102:25875:62312,E00500:175:HHYKLCCXY:5:1104:4482:48740,E00500:175:HHYKLCCXY:5:1104:20121:71752,E00500:175:HHYKLCCXY:5:1107:2920:56475,E00500:175:HHYKLCCXY:5:1111:23460:69625,E00500:175:HHYKLCCXY:5:1114:4797:58532,E00500:175:HHYKLCCXY:5:1122:18051:2874,E00500:175:HHYKLCCXY:5:1123:13372:30422,E00500:175:HHYKLCCXY:5:1205:16041:55965,E00500:175:HHYKLCCXY:5:1209:17015:63560,E00500:175:HHYKLCCXY:5:1221:27630:8148,E00500:175:HHYKLCCXY:5:2101:7923:27415,E00500:175:HHYKLCCXY:5:2102:24880:8165,E00500:175:HHYKLCCXY:5:2102:17249:28874,E00500:175:HHYKLCCXY:5:2105:5680:48423,E00500:175:HHYKLCCXY:5:2108:27052:32883,E00500:175:HHYKLCCXY:5:2113:8288:46296,E00500:175:HHYKLCCXY:5:2116:25824:28927,E00500:175:HHYKLCCXY:5:2116:25855:29015,E00500:175:HHYKLCCXY:5:2118:20740:18713,E00500:175:HHYKLCCXY:5:2201:23043:27837,E00500:175:HHYKLCCXY:5:2205:3985:49215,E00500:175:HHYKLCCXY:5:2212:10571:10240,E00500:175:HHYKLCCXY:5:2216:4219:25991,E00500:175:HHYKLCCXY:5:2217:26078:66777,E00500:175:HHYKLCCXY:5:2224:23531:7128,
245 chr21:25954590|26000182	chr21	25954590	26000182	3	1_2_1	59	0.092	exon	ENSG00000142192.20,	-	E00500:175:HHYKLCCXY:5:1106:23389:32549,E00500:175:HHYKLCCXY:5:1110:30705:19416,E00500:175:HHYKLCCXY:5:1114:32096:44257,
246 chr21:31339243|31464035	chr21	31339243	31464035	3	3_1_2	31	0.162	exon	ENSG00000156299.13,	-	E00500:175:HHYKLCCXY:5:1114:31487:68166,E00500:175:HHYKLCCXY:5:2213:10196:67779,E00500:175:HHYKLCCXY:5:2216:4097:19733,
247 chr21:36053583|36058924	chr21	36053583	36058924	4	0_1_2	5	0.615	exon	ENSG00000185917.13,	-	E00500:175:HHYKLCCXY:5:1111:14001:53944,E00500:175:HHYKLCCXY:5:1110:8734:68975,E00500:175:HHYKLCCXY:5:1222:10044:70645,E00500:175:HHYKLCCXY:5:2110:10135:69678,
248 chr21:42686192|42699011	chr21	42686192	42699011	2	1_1_2	5	0.444	exon	ENSG00000160191.17,	+	E00500:175:HHYKLCCXY:5:1217:11028:34729,E00500:175:HHYKLCCXY:5:2217:22678:31881,
249 chr21:45728676|45735429	chr21	45728676	45735429	12	5_2_9	39	0.381	exon	ENSG00000183570.16,	+	E00500:175:HHYKLCCXY:5:1105:24830:57653,E00500:175:HHYKLCCXY:5:1108:25601:60817,E00500:175:HHYKLCCXY:5:1124:6867:55649,E00500:175:HHYKLCCXY:5:1201:20324:17957,E00500:175:HHYKLCCXY:5:1220:17939:33234,E00500:175:HHYKLCCXY:5:2114:5913:42429,E00500:175:HHYKLCCXY:5:2123:21065:51834,E00500:175:HHYKLCCXY:5:2211:25733:5177,E00500:175:HHYKLCCXY:5:2216:10987:52379,E00500:175:HHYKLCCXY:5:1120:21308:33059,E00500:175:HHYKLCCXY:5:1120:21805:33322,E00500:175:HHYKLCCXY:5:2121:23967:3243,
250 chr22:19063202|19089490	chr22	19063202	19089490	2	2_2_0	41	0.089	exon	ENSG00000070413.19,	-	E00500:175:HHYKLCCXY:5:2121:17787:33006,E00500:175:HHYKLCCXY:5:2211:10044:9150,
251 chr22:23705429|23709867	chr22	23705429	23709867	42	23_16_17	9	0.903	exon	ENSG00000228315.11,ENSG00000272578.5,ENSG00000273000.5,	-	E00500:175:HHYKLCCXY:5:1103:14387:31125,E00500:175:HHYKLCCXY:5:1104:25438:16867,E00500:175:HHYKLCCXY:5:1105:11444:58163,E00500:175:HHYKLCCXY:5:1107:23317:54787,E00500:175:HHYKLCCXY:5:1110:30990:17026,E00500:175:HHYKLCCXY:5:1110:18781:56704,E00500:175:HHYKLCCXY:5:1116:18335:15531,E00500:175:HHYKLCCXY:5:1116:19431:51359,E00500:175:HHYKLCCXY:5:1202:19532:24603,E00500:175:HHYKLCCXY:5:1204:30939:24603,E00500:175:HHYKLCCXY:5:1205:20040:70311,E00500:175:HHYKLCCXY:5:1209:17492:6829,E00500:175:HHYKLCCXY:5:1214:26474:8991,E00500:175:HHYKLCCXY:5:1215:32126:5669,E00500:175:HHYKLCCXY:5:1218:17726:59411,E00500:175:HHYKLCCXY:5:1221:23460:67445,E00500:175:HHYKLCCXY:5:1221:23490:67498,E00500:175:HHYKLCCXY:5:1223:12033:64105,E00500:175:HHYKLCCXY:5:1223:29691:69027,E00500:175:HHYKLCCXY:5:2102:27164:20981,E00500:175:HHYKLCCXY:5:2107:32025:26027,E00500:175:HHYKLCCXY:5:2109:16021:49109,E00500:175:HHYKLCCXY:5:2110:9628:45206,E00500:175:HHYKLCCXY:5:2117:20841:48423,E00500:175:HHYKLCCXY:5:2120:24302:55227,E00500:175:HHYKLCCXY:5:2124:22221:56581,E00500:175:HHYKLCCXY:5:2201:11018:36082,E00500:175:HHYKLCCXY:5:2206:13545:13140,E00500:175:HHYKLCCXY:5:2207:4675:47035,E00500:175:HHYKLCCXY:5:2207:21663:63208,E00500:175:HHYKLCCXY:5:2209:18304:5388,E00500:175:HHYKLCCXY:5:2209:9222:58216,E00500:175:HHYKLCCXY:5:2210:9577:9607,E00500:175:HHYKLCCXY:5:2214:28554:18326,E00500:175:HHYKLCCXY:5:2217:3325:50498,E00500:175:HHYKLCCXY:5:2218:2635:69344,E00500:175:HHYKLCCXY:5:2219:15574:67849,E00500:175:HHYKLCCXY:5:2224:13981:6583,E00500:175:HHYKLCCXY:5:2224:10125:44978,E00500:175:HHYKLCCXY:5:1218:11870:5950,E00500:175:HHYKLCCXY:5:2105:12317:31617,E00500:175:HHYKLCCXY:5:2217:2290:35379,
252 chr22:25823505|25832997	chr22	25823505	25832997	3	2_2_0	22	0.214	exon	ENSG00000133454.15,	+	E00500:175:HHYKLCCXY:5:1108:18933:35203,E00500:175:HHYKLCCXY:5:1116:15229:65951,E00500:175:HHYKLCCXY:5:2204:3447:10310,
253 chr22:28694032|28695873	chr22	28694032	28695873	25	11_13_4	17	0.746	exon	ENSG00000183765.20,	-	E00500:175:HHYKLCCXY:5:1101:18152:32162,E00500:175:HHYKLCCXY:5:1103:29670:24479,E00500:175:HHYKLCCXY:5:1103:2767:45523,E00500:175:HHYKLCCXY:5:1104:9293:54541,E00500:175:HHYKLCCXY:5:1104:9394:54576,E00500:175:HHYKLCCXY:5:1104:9323:54805,E00500:175:HHYKLCCXY:5:1207:5446:17887,E00500:175:HHYKLCCXY:5:1207:5446:58848,E00500:175:HHYKLCCXY:5:1207:7141:71383,E00500:175:HHYKLCCXY:5:1208:11880:8042,E00500:175:HHYKLCCXY:5:1208:25134:35572,E00500:175:HHYKLCCXY:5:1223:11962:70100,E00500:175:HHYKLCCXY:5:2106:28138:10187,E00500:175:HHYKLCCXY:5:2120:27072:4931,E00500:175:HHYKLCCXY:5:2123:17107:23073,E00500:175:HHYKLCCXY:5:2123:17178:23091,E00500:175:HHYKLCCXY:5:2204:16701:10521,E00500:175:HHYKLCCXY:5:2207:8440:12279,E00500:175:HHYKLCCXY:5:2223:31193:3876,E00500:175:HHYKLCCXY:5:1103:11779:42288,E00500:175:HHYKLCCXY:5:1103:11728:42306,E00500:175:HHYKLCCXY:5:1118:16701:25288,E00500:175:HHYKLCCXY:5:1122:11850:37454,E00500:175:HHYKLCCXY:5:1213:26971:63613,E00500:175:HHYKLCCXY:5:2124:4564:61960,
254 chr22:31583875|31589577	chr22	31583875	31589577	6	2_2_1	26	0.316	exon	ENSG00000198089.15,	+	E00500:175:HHYKLCCXY:5:1121:23652:43659,E00500:175:HHYKLCCXY:5:1204:5771:21473,E00500:175:HHYKLCCXY:5:1206:29396:14055,E00500:175:HHYKLCCXY:5:1211:24139:25974,E00500:175:HHYKLCCXY:5:2217:27478:10380,E00500:175:HHYKLCCXY:5:2211:11332:16727,
255 chr22:36523209|36524732	chr22	36523209	36524732	29	7_17_12	50	0.537	exon	ENSG00000100353.17,	-	E00500:175:HHYKLCCXY:5:1107:27864:27925,E00500:175:HHYKLCCXY:5:1111:22759:5018,E00500:175:HHYKLCCXY:5:1111:23013:16674,E00500:175:HHYKLCCXY:5:1117:10612:19170,E00500:175:HHYKLCCXY:5:1118:29244:59640,E00500:175:HHYKLCCXY:5:1202:2767:62364,E00500:175:HHYKLCCXY:5:1209:24373:21350,E00500:175:HHYKLCCXY:5:1209:15209:67849,E00500:175:HHYKLCCXY:5:1212:3518:46402,E00500:175:HHYKLCCXY:5:1216:22841:3999,E00500:175:HHYKLCCXY:5:1217:9557:4720,E00500:175:HHYKLCCXY:5:1220:19938:27029,E00500:175:HHYKLCCXY:5:1223:9283:12824,E00500:175:HHYKLCCXY:5:1223:26352:39546,E00500:175:HHYKLCCXY:5:2101:23551:63771,E00500:175:HHYKLCCXY:5:2103:27499:50392,E00500:175:HHYKLCCXY:5:2106:7121:35977,E00500:175:HHYKLCCXY:5:2107:7923:39932,E00500:175:HHYKLCCXY:5:2111:28483:14758,E00500:175:HHYKLCCXY:5:2111:29731:16674,E00500:175:HHYKLCCXY:5:2111:23409:17043,E00500:175:HHYKLCCXY:5:2111:31193:32426,E00500:175:HHYKLCCXY:5:2118:14215:12824,E00500:175:HHYKLCCXY:5:2123:12540:43431,E00500:175:HHYKLCCXY:5:2206:21826:50937,E00500:175:HHYKLCCXY:5:2211:18852:56581,E00500:175:HHYKLCCXY:5:2217:29944:5370,E00500:175:HHYKLCCXY:5:2221:18040:47158,E00500:175:HHYKLCCXY:5:2105:29173:69256,
256 chr22:40907587|40914324	chr22	40907587	40914324	3	1_2_3	9	0.400	exon	ENSG00000196236.12,	+	E00500:175:HHYKLCCXY:5:1101:19684:16182,E00500:175:HHYKLCCXY:5:1203:19837:41233,E00500:175:HHYKLCCXY:5:2110:2767:54559,
257 chr22:43833640|43841932	chr22	43833640	43841932	9	4_4_4	16	0.529	exon	ENSG00000130540.13,	-	E00500:175:HHYKLCCXY:5:1111:13535:47298,E00500:175:HHYKLCCXY:5:1117:5903:12455,E00500:175:HHYKLCCXY:5:1119:2057:30228,E00500:175:HHYKLCCXY:5:1203:28422:18168,E00500:175:HHYKLCCXY:5:1222:16894:42569,E00500:175:HHYKLCCXY:5:1108:24180:64580,E00500:175:HHYKLCCXY:5:1116:30168:29490,E00500:175:HHYKLCCXY:5:1124:2869:62189,E00500:175:HHYKLCCXY:5:1217:26463:8657,
258 chr22:46408996|46411759	chr22	46408996	46411759	2	2_1_0	3	0.571	exon	ENSG00000075275.16,	-	E00500:175:HHYKLCCXY:5:2207:31182:25235,E00500:175:HHYKLCCXY:5:2108:3447:12314,
259 chr22:50372020|50394135	chr22	50372020	50394135	28	15_15_2	71	0.441	exon	ENSG00000100239.15,	+	E00500:175:HHYKLCCXY:5:1102:18162:65476,E00500:175:HHYKLCCXY:5:1106:28057:53399,E00500:175:HHYKLCCXY:5:1108:19390:5897,E00500:175:HHYKLCCXY:5:1113:18802:37401,E00500:175:HHYKLCCXY:5:1114:21115:64263,E00500:175:HHYKLCCXY:5:1116:6086:63577,E00500:175:HHYKLCCXY:5:1116:6238:63665,E00500:175:HHYKLCCXY:5:1124:2301:56774,E00500:175:HHYKLCCXY:5:1124:21947:72807,E00500:175:HHYKLCCXY:5:1208:16579:37840,E00500:175:HHYKLCCXY:5:1218:15229:10960,E00500:175:HHYKLCCXY:5:1220:22414:53785,E00500:175:HHYKLCCXY:5:1222:27773:19504,E00500:175:HHYKLCCXY:5:1222:22617:46331,E00500:175:HHYKLCCXY:5:1222:13971:47878,E00500:175:HHYKLCCXY:5:1223:30289:49144,E00500:175:HHYKLCCXY:5:1224:10551:8657,E00500:175:HHYKLCCXY:5:2108:14641:8218,E00500:175:HHYKLCCXY:5:2114:7659:19012,E00500:175:HHYKLCCXY:5:2118:27468:71928,E00500:175:HHYKLCCXY:5:2121:3173:26501,E00500:175:HHYKLCCXY:5:2121:3397:26572,E00500:175:HHYKLCCXY:5:2123:3051:20700,E00500:175:HHYKLCCXY:5:2210:27488:68693,E00500:175:HHYKLCCXY:5:2222:5964:5106,E00500:175:HHYKLCCXY:5:1204:21775:33656,E00500:175:HHYKLCCXY:5:2215:8065:15566,E00500:175:HHYKLCCXY:5:2217:32065:57846,
260 chr3:9662267|9671170	chr3	9662267	9671170	2	1_2_1	18	0.182	exon	ENSG00000163719.19,	+	E00500:175:HHYKLCCXY:5:1111:13585:71541,E00500:175:HHYKLCCXY:5:2116:9749:41725,
261 chr3:12590798|12591792	chr3	12590798	12591792	15	11_6_4	16	0.652	exon	ENSG00000132155.11,	-	E00500:175:HHYKLCCXY:5:1106:6857:17834,E00500:175:HHYKLCCXY:5:1117:2828:30861,E00500:175:HHYKLCCXY:5:1123:4452:25798,E00500:175:HHYKLCCXY:5:1201:15930:52924,E00500:175:HHYKLCCXY:5:1206:8775:70838,E00500:175:HHYKLCCXY:5:1210:13250:32531,E00500:175:HHYKLCCXY:5:1213:16975:40811,E00500:175:HHYKLCCXY:5:1217:7841:3331,E00500:175:HHYKLCCXY:5:2111:25844:37717,E00500:175:HHYKLCCXY:5:2118:2767:44890,E00500:175:HHYKLCCXY:5:2118:2747:44995,E00500:175:HHYKLCCXY:5:2212:31375:69168,E00500:175:HHYKLCCXY:5:2214:19999:27275,E00500:175:HHYKLCCXY:5:2218:8105:38878,E00500:175:HHYKLCCXY:5:1210:17137:47421,
262 chr3:17508474|17623913	chr3	17508474	17623913	9	4_2_3	7	0.720	exon	ENSG00000131374.14,	-	E00500:175:HHYKLCCXY:5:2102:22100:25464,E00500:175:HHYKLCCXY:5:2118:11880:39018,E00500:175:HHYKLCCXY:5:2120:8653:63349,E00500:175:HHYKLCCXY:5:2120:8197:64351,E00500:175:HHYKLCCXY:5:2210:13382:67006,E00500:175:HHYKLCCXY:5:2215:22972:13615,E00500:175:HHYKLCCXY:5:2215:21531:69836,E00500:175:HHYKLCCXY:5:2215:22059:70047,E00500:175:HHYKLCCXY:5:1123:9516:53065,
263 chr3:29880779|29899755	chr3	29880779	29899755	4	0_2_2	12	0.400	exon	ENSG00000144642.21,	+	E00500:175:HHYKLCCXY:5:2105:23967:65335,E00500:175:HHYKLCCXY:5:2124:12479:67902,E00500:175:HHYKLCCXY:5:2124:12530:67920,E00500:175:HHYKLCCXY:5:2210:28696:51201,
264 chr3:33581821|33604209	chr3	33581821	33604209	6	3_0_2	22	0.353	exon	ENSG00000163539.16,	-	E00500:175:HHYKLCCXY:5:1116:3386:65757,E00500:175:HHYKLCCXY:5:1208:4939:67006,E00500:175:HHYKLCCXY:5:2117:2625:12507,E00500:175:HHYKLCCXY:5:2216:27164:18871,E00500:175:HHYKLCCXY:5:2224:18101:61011,E00500:175:HHYKLCCXY:5:1114:3549:43501,
265 chr3:41224021|41227352	chr3	41224021	41227352	27	3_17_14	48	0.529	exon	ENSG00000168036.16,	+	E00500:175:HHYKLCCXY:5:1107:21481:46085,E00500:175:HHYKLCCXY:5:1119:10805:41620,E00500:175:HHYKLCCXY:5:1202:13149:30738,E00500:175:HHYKLCCXY:5:1220:2402:3225,E00500:175:HHYKLCCXY:5:1220:20659:29824,E00500:175:HHYKLCCXY:5:2104:26788:32848,E00500:175:HHYKLCCXY:5:2105:4401:4368,E00500:175:HHYKLCCXY:5:2107:16579:23179,E00500:175:HHYKLCCXY:5:2109:28189:70223,E00500:175:HHYKLCCXY:5:2110:12398:51412,E00500:175:HHYKLCCXY:5:2116:30056:29015,E00500:175:HHYKLCCXY:5:2116:29203:29367,E00500:175:HHYKLCCXY:5:2119:14773:70750,E00500:175:HHYKLCCXY:5:2119:15219:70820,E00500:175:HHYKLCCXY:5:2123:22901:37260,E00500:175:HHYKLCCXY:5:2123:10500:46964,E00500:175:HHYKLCCXY:5:2202:14529:64281,E00500:175:HHYKLCCXY:5:2210:29305:20788,E00500:175:HHYKLCCXY:5:2222:12702:7919,E00500:175:HHYKLCCXY:5:1109:7720:68764,E00500:175:HHYKLCCXY:5:1124:15047:15426,E00500:175:HHYKLCCXY:5:2106:12530:41725,E00500:175:HHYKLCCXY:5:2122:2544:63138,E00500:175:HHYKLCCXY:5:2202:5700:71242,E00500:175:HHYKLCCXY:5:2205:18984:7409,E00500:175:HHYKLCCXY:5:2208:28199:61661,E00500:175:HHYKLCCXY:5:2215:13230:60097,
266 chr3:47101458|47106120	chr3	47101458	47106120	6	2_3_1	51	0.190	exon	ENSG00000181555.20,	-	E00500:175:HHYKLCCXY:5:1119:17026:60167,E00500:175:HHYKLCCXY:5:1217:15118:61222,E00500:175:HHYKLCCXY:5:2108:17086:13685,E00500:175:HHYKLCCXY:5:2108:16934:14301,E00500:175:HHYKLCCXY:5:2110:5335:40548,E00500:175:HHYKLCCXY:5:2206:9049:49795,
267 chr3:47720666|47721496	chr3	47720666	47721496	2	0_2_2	25	0.138	intron	ENSG00000173473.10,	-	E00500:175:HHYKLCCXY:5:1123:10927:57161,E00500:175:HHYKLCCXY:5:2103:16995:5405,
268 chr3:49241226|49244733	chr3	49241226	49244733	2	1_1_1	5	0.444	exon	ENSG00000173421.16,	+	E00500:175:HHYKLCCXY:5:1212:18649:35625,E00500:175:HHYKLCCXY:5:2217:23744:61890,
269 chr3:51684413|51684884	chr3	51684413	51684884	2	1_0_2	17	0.190	intron	ENSG00000164081.12,	+	E00500:175:HHYKLCCXY:5:2117:19837:61450,E00500:175:HHYKLCCXY:5:1114:19390:57196,
270 chr3:56666260|56673725	chr3	56666260	56673725	5	3_3_1	15	0.400	exon	ENSG00000163946.13,	-	E00500:175:HHYKLCCXY:5:1117:14286:39950,E00500:175:HHYKLCCXY:5:1117:25144:41989,E00500:175:HHYKLCCXY:5:2214:3914:49654,E00500:175:HHYKLCCXY:5:2216:13971:20840,E00500:175:HHYKLCCXY:5:2201:6025:49408,
271 chr3:62292614|62299958	chr3	62292614	62299958	5	0_1_2	0	1	intron	ENSG00000241472.6,	-	E00500:175:HHYKLCCXY:5:2204:17634:9115,E00500:175:HHYKLCCXY:5:2204:17036:9870,E00500:175:HHYKLCCXY:5:2107:8887:31019,E00500:175:HHYKLCCXY:5:2107:8866:31054,E00500:175:HHYKLCCXY:5:2107:9201:31107,
272 chr3:98822228|98822741	chr3	98822228	98822741	2	1_0_2	0	1	exon	ENSG00000057019.15,	-	E00500:175:HHYKLCCXY:5:2119:2625:51184,E00500:175:HHYKLCCXY:5:1212:13677:63050,
273 chr3:119500695|119503620	chr3	119500695	119503620	2	2_2_0	45	0.082	exon	ENSG00000113845.9,	+	E00500:175:HHYKLCCXY:5:1104:30594:66478,E00500:175:HHYKLCCXY:5:1209:4137:17237,
274 chr3:123106749|123124343	chr3	123106749	123124343	5	1_1_2	20	0.333	exon	ENSG00000065485.19,	+	E00500:175:HHYKLCCXY:5:2102:16264:43730,E00500:175:HHYKLCCXY:5:2102:16264:43765,E00500:175:HHYKLCCXY:5:2102:15838:43941,E00500:175:HHYKLCCXY:5:2102:15990:44275,E00500:175:HHYKLCCXY:5:2113:32299:8675,
